"R","little_power","little_power_cov","our_power","combined_power","our_power_corr","alpha"
5.09319719732559e-09,0.034,0.1,0.028,0.038,0.056,0.05
0.0610164960912931,0.052,0.25,0.126,0.132,0.262,0.05
0.122050321081537,0.048,0.546,0.402,0.402,0.644,0.05
0.182504504900128,0.054,0.884,0.784,0.786,0.924,0.05
0.241813056592849,0.084,0.996,0.972,0.972,0.998,0.05
0.299450051666193,0.06,1,0.998,0.998,1,0.05
0.35493776495181,0.068,1,1,1,1,0.05
0.407853428396818,0.074,1,1,1,1,0.05
