"R","our_power","our_power_corr","alpha"
2.68807692771489e-08,0.036,0.04,0.05
0.0315105404828491,0.078,0.16,0.05
0.0631741451597105,0.218,0.396,0.05
0.0949024420337621,0.464,0.702,0.05
0.126624212948179,0.734,0.904,0.05
0.158272114292388,0.914,0.986,0.05
0.189772559523954,0.984,1,0.05
0.221067803524258,0.998,1,0.05
