"xxx","little_power","little_power_cov","our_power","combined_power","our_power_corr"
0.05,0.434,0.998,0.018,0.336,0.008
0.108333333333333,0.552,1,0.084,0.442,0.022
0.166666666666667,0.65,1,0.158,0.552,0.028
0.225,0.858,1,0.274,0.724,0.024
0.283333333333333,0.93,1,0.392,0.87,0.058
0.341666666666667,0.972,1,0.662,0.934,0.072
0.4,0.988,1,0.846,0.974,0.142
