"xxx","little_power","little_power_cov","our_power","combined_power","our_power_corr"
0.05,0.474,0.68,0.012,0.326,0.038
0.108333333333333,0.768,0.854,0.346,0.646,0.084
0.166666666666667,0.934,0.944,0.54,0.848,0.124
0.225,0.992,0.982,0.794,0.976,0.136
0.283333333333333,1,1,0.938,0.992,0.148
0.341666666666667,1,1,0.974,0.998,0.182
0.4,1,1,0.984,1,0.16
