"xxx","little_power","little_power_cov","our_power","combined_power","our_power_corr"
0.05,0.432,0.52,0.028,0.286,0.112
0.108333333333333,0.896,0.856,0.702,0.746,0.246
0.166666666666667,0.982,0.97,0.878,0.954,0.296
0.225,0.998,1,0.976,0.998,0.342
0.283333333333333,1,1,0.992,1,0.352
0.341666666666667,1,1,1,1,0.312
0.4,1,1,0.994,1,0.302
