"xxx","little_power","little_power_cov","our_power","combined_power","our_power_corr"
0.05,0.078,0.996,0.01,0.048,0.002
0.108333333333333,0.114,1,0.028,0.078,0.032
0.166666666666667,0.07,1,0.038,0.064,0.03
0.225,0.062,1,0.03,0.05,0.024
0.283333333333333,0.038,1,0.032,0.048,0.058
0.341666666666667,0.056,1,0.032,0.048,0.056
0.4,0.062,1,0.04,0.056,0.08
