"xxx","little_power","little_power_cov","our_power","combined_power","our_power_corr"
0.05,0.582,0.726,0.018,0.412,0.05
0.108333333333333,0.974,0.988,0.726,0.91,0.12
0.166666666666667,1,1,0.918,0.998,0.142
0.225,1,1,0.996,1,0.136
0.283333333333333,1,1,0.996,1,0.128
0.341666666666667,1,1,0.998,1,0.082
0.4,1,1,1,1,0.068
